Putra Kembar	-6.448468333, 106.865805
Sumber Usaha, Tk	-6.3768197, 106.9693819
Sinar Makmur Jaya, Tb	-6.522909697, 106.81744
Ciampea Agung, Tk	-6.554924706, 106.6985553
Takashita Hobashi, Cv	-6.6597505, 106.8592646
77. Tb (Bojonggede)	-6.467221406, 106.8030697
Cahaya Mas, Tb (Sukabumi)	-6.85071414, 106.7641386
Abadi Jaya, Tk	-6.3929219, 106.8502879
Baru Star, Pb	-6.49311393, 106.7614947
Muhammad, Tb	-6.494084378, 106.8872899
Toko Murah Sinar Abadi	-6.475061667, 106.80344
Asia Bangun, Pb	-6.3689516, 107.0094305
Sumber Milik, Tk	-6.926994, 106.9332891
Sukses,Tb (Gangdoang)	-6.4235953, 106.9857832
Tb. Jaya Makmur	-6.317298, 106.8188557
Aneka Jaya Indah	-6.3582485, 106.8120235
Sidamulya, Tb	-6.372937281, 106.779901
Bahtera, Tb (Cianjur)	-6.84419, 107.12328
Sumber Rejeki, Tb	-6.382553333, 106.74631
Maju Berkah,Tb	-6.5400486, 106.7827585
Indah Jaya,Tb	-6.3665058, 106.8054781
TB. Bukak indah 	-6.355872, 106.874518
Furama	-6.466032, 106.8552926
Tb Karya jaya makmur	-6.448692, 106.804156
Mitra abadi	-6.3616861, 106.7914946
Eva Jaya, Tb (Sukabumi)	-6.8842018, 106.4608735
TB Alam sejahtera	-6.4042146, 106.8125777
TB Meruyung jaya	-6.379336, 106.769855
TB putri jaya	-6.394234, 106.787074
TB Panca	-6.412417, 106.816693
tb kbk berkah	-7.14961, 106.615462
TB Murah Jaya	-6.4307309, 106.7574599
TB. Condet jaya	-6.282588, 106.860429
Tb Rejeki makmur	-6.4574425, 106.8308444
Jaya Makmur, Tb (Cianjur)	-6.92634968, 107.1374044
Karya Mandiri (Parung Panjang), Tb	-6.48042847647367, 106.509043496911
Bintang Harapan, Tk	-6.405911667, 106.9045383
TB. Bimantara	-6.561826, 106.822707
Mitra Hikmat D, Tb	-6.3597108, 106.8173627
Marco Zeka Tehnik, Tb	-6.441677099, 107.0129937
Keluarga, Tb	-6.386431237, 106.8828221
Bintang Prima, Tb	-6.3637837, 106.7320859
Makmur Najah, Tb	-6.6797284, 106.840213
Magneto	-6.822124, 107.128504
Mengker Jaya, Tb	-6.472728333, 107.852
Kompa Jaya, Tb	-6.82602809, 106.75798
Mekar Jaya pangleseran	-6.978961, 106.850509
